Column1,Emp_Id,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary,Status,Satisfaction
286,IND41938,11%,0.83,6,306,4,,1,,support,low,Left,0.11
287,IND07760,11%,0.79,6,292,4,,1,1,technical,low,Left,0.11
288,IND03264,82%,0.91,5,232,5,,1,,technical,low,Left,0.82
289,IND06225,36%,0.48,2,137,3,,1,,technical,low,Left,0.36
290,IND35004,40%,0.46,2,128,3,,1,,management,low,Left,0.4
291,IND25762,87%,0.84,5,231,5,,1,,IT,low,Left,0.87
292,IND23892,41%,0.49,2,146,3,,1,,IT,low,Left,0.41
293,IND31584,11%,0.91,6,308,4,1,1,,IT,low,Left,0.11
294,IND43337,10%,0.93,6,253,4,,1,,IT,medium,Left,0.1
295,IND12691,38%,0.51,2,146,3,,1,,IT,medium,Left,0.38
296,IND15509,39%,0.55,2,156,3,,1,,product_mng,medium,Left,0.39
297,IND24340,40%,0.52,2,147,3,,1,,product_mng,medium,Left,0.4
298,IND32788,45%,0.48,2,136,3,,1,,product_mng,medium,Left,0.45
299,IND03425,74%,0.84,5,249,5,,1,,product_mng,medium,Left,0.74
300,IND05837,45%,0.55,2,151,3,,1,,IT,medium,Left,0.45
301,IND35722,12%,1,3,278,4,,1,,RandD,medium,Left,0.12
302,IND23749,10%,0.77,7,250,5,,1,,RandD,medium,Left,0.1
303,IND048,37%,0.55,2,127,3,,1,,RandD,medium,Left,0.37
304,IND04733,89%,0.87,5,255,5,,1,,RandD,medium,Left,0.89
305,IND17963,45%,0.47,2,135,3,,1,,RandD,medium,Left,0.45
306,IND02462,37%,0.46,2,149,3,,1,,marketing,high,Left,0.37
307,IND25050,11%,0.81,5,287,4,,1,,sales,low,Left,0.11
308,IND33895,41%,0.48,2,145,3,,1,,accounting,medium,Left,0.41
309,IND36409,10%,0.94,6,285,4,,1,,support,medium,Left,0.1
310,IND38328,10%,0.93,7,305,4,,1,,technical,medium,Left,0.1
311,IND05005,11%,0.95,7,300,4,,1,,management,medium,Left,0.11
312,IND05284,40%,0.54,2,139,3,,1,,marketing,low,Left,0.4
313,IND31191,41%,0.49,2,130,3,,1,,marketing,low,Left,0.41
314,IND0636,10%,0.81,6,268,4,,1,,marketing,low,Left,0.1
315,IND09913,73%,0.86,4,245,6,,1,,sales,low,Left,0.73
316,IND45004,43%,0.47,2,135,3,,1,,sales,low,Left,0.43
317,IND21604,37%,0.46,2,153,3,,1,,sales,low,Left,0.37
318,IND17722,11%,0.94,6,276,4,,1,,sales,low,Left,0.11
319,IND35333,40%,0.46,2,130,3,,1,,sales,low,Left,0.4
320,IND36557,41%,0.54,2,153,3,1,1,,sales,low,Left,0.41
321,IND21834,82%,0.84,5,244,5,,1,,sales,low,Left,0.82
322,IND41907,61%,0.47,2,253,3,,1,,sales,low,Left,0.61
323,IND31120,11%,0.91,7,287,4,,1,,sales,low,Left,0.11
324,IND01918,37%,0.45,2,131,3,,1,,sales,low,Left,0.37
325,IND20772,41%,0.52,2,135,3,,1,,sales,low,Left,0.41
326,IND08699,37%,0.52,2,157,3,,1,,sales,low,Left,0.37
327,IND31644,88%,0.99,5,262,6,,1,,sales,low,Left,0.88
328,IND37098,10%,0.85,6,266,4,,1,,sales,low,Left,0.1
329,IND35544,44%,0.48,2,148,3,,1,,sales,low,Left,0.44
330,IND18627,38%,0.57,2,140,3,,1,,sales,low,Left,0.38
331,IND30769,11%,0.85,7,302,4,,1,,sales,low,Left,0.11
332,IND33187,9%,0.98,6,271,4,,1,,sales,low,Left,0.09
333,IND07254,45%,0.52,2,145,3,,1,,sales,medium,Left,0.45
334,IND29466,10%,0.81,6,290,4,,1,,accounting,medium,Left,0.1
335,IND36017,45%,0.47,2,151,3,,1,,accounting,medium,Left,0.45
336,IND43579,77%,0.87,5,266,5,,1,,accounting,medium,Left,0.77
337,IND43393,44%,0.51,2,140,3,,1,,hr,medium,Left,0.44
338,IND02895,39%,0.5,2,142,3,,1,,hr,medium,Left,0.39
339,IND04984,10%,0.91,6,246,4,,1,,hr,medium,Left,0.1
340,IND11607,9%,0.89,7,308,5,,1,,hr,medium,Left,0.09
341,IND41347,37%,0.47,2,141,3,,1,,technical,medium,Left,0.37
342,IND02676,90%,1,5,232,5,,1,,technical,medium,Left,0.9
343,IND04698,41%,0.56,2,143,3,,1,,technical,medium,Left,0.41
344,IND20375,37%,0.52,2,155,3,,1,,technical,medium,Left,0.37
345,IND37284,10%,0.86,6,278,4,,1,,technical,high,Left,0.1
346,IND23482,81%,1,4,253,5,,1,,technical,low,Left,0.81
347,IND39285,11%,0.8,6,282,4,,1,,technical,medium,Left,0.11
348,IND04237,11%,0.84,7,264,4,,1,,technical,medium,Left,0.11
349,IND01864,40%,0.46,2,149,3,,1,,technical,medium,Left,0.4
350,IND02500,9%,0.8,6,304,5,,1,,technical,medium,Left,0.09
351,IND29143,48%,0.93,3,219,6,,1,,technical,low,Left,0.48
352,IND20937,91%,0.91,4,262,6,,1,,support,low,Left,0.91
353,IND05507,43%,0.57,2,135,3,,1,,support,low,Left,0.43
354,IND01,33%,0.88,6,219,5,,1,,support,low,Left,0.33
355,IND20035,41%,0.57,2,136,3,,1,,support,low,Left,0.41
356,IND06084,41%,0.55,2,154,3,,1,,support,low,Left,0.41
357,IND24666,37%,0.54,2,149,3,,1,,support,low,Left,0.37
358,IND25893,31%,0.62,6,135,5,,1,,support,low,Left,0.31
359,IND31280,9%,0.91,6,275,4,,1,,support,low,Left,0.09
360,IND41323,10%,0.87,6,290,4,,1,,support,low,Left,0.1
361,IND19003,76%,0.9,4,263,5,,1,,support,low,Left,0.76
362,IND09805,41%,0.54,2,145,3,,1,,support,low,Left,0.41
363,IND27257,72%,0.96,5,267,5,,1,,technical,low,Left,0.72
364,IND03850,40%,0.5,2,141,3,1,1,,technical,low,Left,0.4
365,IND26902,91%,0.87,4,235,5,,1,,technical,low,Left,0.91
366,IND24156,10%,0.83,6,258,4,,1,,management,low,Left,0.1
367,IND37061,40%,0.56,2,131,3,,1,,IT,low,Left,0.4
368,IND38588,82%,0.86,5,243,5,,1,,IT,low,Left,0.82
369,IND03063,10%,0.82,6,266,4,,1,,IT,low,Left,0.1
370,IND13975,37%,0.45,2,142,3,,1,,IT,low,Left,0.37
371,IND40823,36%,0.51,2,135,3,,1,,IT,low,Left,0.36
372,IND01469,39%,0.48,2,141,3,,1,,product_mng,medium,Left,0.39
373,IND01656,36%,0.57,2,142,3,,1,,product_mng,medium,Left,0.36
374,IND12465,86%,0.84,5,254,5,,1,,product_mng,medium,Left,0.86
375,IND16382,73%,0.99,5,262,5,,1,,product_mng,medium,Left,0.73
376,IND17796,56%,0.71,4,296,2,,1,,IT,medium,Left,0.56
377,IND32278,44%,0.56,2,158,3,,1,,accounting,medium,Left,0.44
378,IND34555,31%,0.56,4,238,2,,1,,accounting,medium,Left,0.31
379,IND22783,77%,0.93,4,231,5,,1,,hr,medium,Left,0.77
380,IND0583,44%,0.45,2,156,3,,1,,hr,medium,Left,0.44
